product_name,product_category,brand,company,price,launch_date,first_sale,last_sale,total_units,months_data
ZANXIM SUSP DRY 100MG 30ML,CEFIXIME,ZANXIM,MZN,106.25,2011-09-01,2022-12-01,2025-11-01,81512,36
SUPRACEF SUSP DRY 100MG 30ML,CEFIXIME,SUPRACEF,PCW,150.65,1999-12-01,2022-12-01,2025-11-01,81436,36
AXORAL SUSP DRY 100MG 30ML,CEFIXIME,AXORAL,PSL,161.5,2021-01-01,2022-12-01,2025-11-01,80521,36
CEFTAS SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFTAS,P/P,296.65,2007-04-01,2022-12-01,2025-11-01,79259,36
CEFISCOT SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFISCOT,SC2,246.5,2011-12-01,2022-12-01,2025-11-01,79248,36
EPAN CAPS 400MG 5,CEFIXIME,EPAN,EP5,276.25,2019-12-01,2022-12-01,2025-11-01,78857,36
CEFICO SUSP DRY 100MG 30ML,CEFIXIME,CEFICO,RPH,132.0,2023-07-01,2022-12-01,2025-11-01,77816,36
CEFLOREX CAPS 400MG 5,CEFIXIME,CEFLOREX,P1P,382.27,2003-09-01,2022-12-01,2025-11-01,76229,36
MAXOPHINE SUSP DRY 100MG 60ML,CEFIXIME,MAXOPHINE,GLB,204.0,2003-09-01,2022-12-01,2025-11-01,76063,36
C-SPAN SUSP 100MG 30ML,CEFIXIME,C-SPAN,M7A,179.35,2012-03-01,2022-12-01,2025-11-01,75699,36
CEXIME CAPS 400MG 5,CEFIXIME,CEXIME,SN1,255.0,2003-07-01,2022-12-01,2025-11-01,75086,36
ZYACEF CAPS 400MG 5,CEFIXIME,ZYACEF,S5Z,110.0,2009-12-01,2022-12-01,2025-11-01,73857,36
INFICEF SUSP DRY 100MG 30ML,CEFIXIME,INFICEF,DVI,179.0,2018-11-01,2022-12-01,2025-11-01,72345,36
BACTIRID SUSP DRY 100MG 30ML,CEFIXIME,BACTIRID,MDC,153.0,2002-07-01,2022-12-01,2025-11-01,69947,36
C-SPAN CAPS 400MG 5,CEFIXIME,C-SPAN,M7A,338.3,2012-03-01,2022-12-01,2025-11-01,69300,36
CEFKAR SUSP 100MG 30ML,CEFIXIME,CEFKAR,MDP,123.0,2019-01-01,2022-12-01,2025-11-01,68524,36
GLIXIM SUSP DRY 200MG 30ML,CEFIXIME,GLIXIM,G6Z,282.24,2008-05-01,2022-12-01,2025-11-01,67955,36
SUREXIME CAPS 400MG 5,CEFIXIME,SUREXIME,MDS,361.25,2009-04-01,2022-12-01,2025-11-01,67452,36
CEFISCOT CAPS 400MG 5,CEFIXIME,CEFISCOT,SC2,391.0,2005-05-01,2022-12-01,2025-11-01,66482,36
GODICEF SUSP DRY 200MG 30ML,CEFIXIME,GODICEF,SAF,364.66,2023-06-01,2022-12-01,2025-11-01,64603,36
PLANAX SUSP 100MG 30ML,CEFIXIME,PLANAX,S+F,300.07,2018-10-01,2022-12-01,2025-11-01,64421,36
SPRIL CAPS 400MG 5,CEFIXIME,SPRIL,M4P,420.75,2003-07-01,2022-12-01,2025-11-01,63819,36
ZYLOFIXIME SUSP DRY 100MG 30ML,CEFIXIME,ZYLOFIXIME,RGM,221.0,2010-01-01,2022-12-01,2025-11-01,63277,36
SYNOCEF SUSP DRY D.S 200MG 30ML,CEFIXIME,SYNOCEF,SY2,161.5,2012-07-01,2022-12-01,2025-11-01,61610,36
DISPEL CAPS 400MG 5,CEFIXIME,DISPEL,FYK,356.15,2019-08-01,2022-12-01,2025-11-01,60311,36
NAVEXIM CAPS 400MG 5,CEFIXIME,NAVEXIM,NG6,250.75,2015-05-01,2022-12-01,2025-11-01,59569,36
TAVIZEM CAPS 400MG 5,CEFIXIME,TAVIZEM,GLB,255.0,2021-04-01,2022-12-01,2025-11-01,58221,36
SEPTIPAN CAPS 400MG 5,CEFIXIME,SEPTIPAN,GEO,255.0,2013-04-01,2022-12-01,2025-11-01,57976,36
SWICEF SUSP DRY 100MG 30ML,CEFIXIME,SWICEF,SW-,259.25,2012-03-01,2022-12-01,2025-11-01,56265,36
SPECTRACEF CAPS 400MG 5,CEFIXIME,SPECTRACEF,AR&,212.5,2008-09-01,2022-12-01,2025-11-01,56015,36
CEFKAR SUSP DS 200MG 30ML,CEFIXIME,CEFKAR,MDP,255.0,2019-06-01,2022-12-01,2025-11-01,54670,36
SYNOCEF CAPS 400MG 5,CEFIXIME,SYNOCEF,SY2,221.0,2012-07-01,2022-12-01,2025-11-01,54454,36
GENIXIME SUSP DRY D.S 200MG 30ML,CEFIXIME,GENIXIME,MA&,246.5,2016-01-01,2022-12-01,2025-11-01,54164,36
CEFTAS CAPS 400MG 5,CEFIXIME,CEFTAS,P/P,446.25,2007-07-01,2022-12-01,2025-11-01,53939,36
SUREXIME SUSP DRY 200MG 30ML,CEFIXIME,SUREXIME,MDS,265.2,2020-01-01,2022-12-01,2025-11-01,53670,36
REFSPAN SUSP DRY 200MG 30ML,CEFIXIME,REFSPAN,RPH,137.7,2009-04-01,2022-12-01,2025-11-01,53132,36
SEFIXIM SUSP DRY D.S 200MG 30ML,CEFIXIME,SEFIXIM,EVO,282.2,2020-04-01,2022-12-01,2025-11-01,52131,36
TYSEN SUSP DRY 100MG 30ML,CEFIXIME,TYSEN,HTP,242.49,2014-03-01,2022-12-01,2025-11-01,51795,36
CEFIVANT SYRUP 100MG 30ML,CEFIXIME,CEFIVANT,AVT,153.0,2020-02-01,2022-12-01,2025-11-01,51527,36
XIVAL SUSP DRY D.S 200MG 30ML,CEFIXIME,XIVAL,SIZ,127.5,2011-09-01,2022-12-01,2025-11-01,50751,36
CEFAMAX SUSP DRY 100MG 30ML,CEFIXIME,CEFAMAX,PUP,191.25,2000-10-01,2022-12-01,2025-11-01,50054,36
EVOFIX SUSP DRY 100MG 60ML,CEFIXIME,EVOFIX,PV-,257.55,2005-07-01,2022-12-01,2025-11-01,50018,36
TYSEN CAPS 400MG 5,CEFIXIME,TYSEN,HTP,434.52,2014-03-01,2022-12-01,2025-11-01,49819,36
VFIX CAPS 200MG 10,CEFIXIME,VFIX,F&R,398.79,2012-10-01,2022-12-01,2025-11-01,49490,36
MIXO CAPS 400MG 5,CEFIXIME,MIXO,MXT,289.0,2018-12-01,2022-12-01,2025-11-01,49384,36
TINOCEF GRAN 100MG 60ML,CEFIXIME,TINOCEF,PP+,148.75,2002-04-01,2022-12-01,2025-11-01,49190,36
XIMBACT SUSP DRY 100MG 30ML,CEFIXIME,XIMBACT,BAX,106.25,2013-10-01,2022-12-01,2025-11-01,48859,36
SERVE CAPS 400MG 5,CEFIXIME,SERVE,N/P,382.5,2011-03-01,2022-12-01,2025-11-01,48778,36
AKSOXIME SUSP DRY 100MG 30ML,CEFIXIME,AKSOXIME,AK/,100.3,2009-11-01,2022-12-01,2025-11-01,48603,36
KEFXIM SUSP DRY 100MG/5ML 30ML,CEFIXIME,KEFXIM,G9P,174.25,2019-05-01,2022-12-01,2025-11-01,48381,36
BELFIX SUSP DRY D.S 200MG 30ML,CEFIXIME,BELFIX,S+F,212.5,2019-05-01,2022-12-01,2025-11-01,47525,36
M-SPAN SUSP DRY D.S 200MG 30ML,CEFIXIME,M-SPAN,A-V,246.5,2008-08-01,2022-12-01,2025-11-01,47283,36
UR-CEF SUSP DRY 100MG 30ML,CEFIXIME,UR-CEF,RYN,102.0,2013-06-01,2022-12-01,2025-11-01,47008,36
EPAN CAPS 200MG 5,CEFIXIME,EPAN,EP5,119.85,2019-12-01,2022-12-01,2025-11-01,46506,36
BELFIX CAPS 400MG 5,CEFIXIME,BELFIX,S+F,289.0,2019-05-01,2022-12-01,2025-11-01,45628,36
FEDROXIM SUSP DRY 100MG 30ML,CEFIXIME,FEDROXIM,FDR,127.5,2015-09-01,2022-12-01,2025-11-01,45614,36
CEFIRANT SUSP DRY 100MG 30ML,CEFIXIME,CEFIRANT,AM8,110.5,2013-06-01,2022-12-01,2025-11-01,45489,36
VFIX SUSP DRY D.S 200MG 30ML,CEFIXIME,VFIX,F&R,301.99,2012-10-01,2022-12-01,2025-11-01,44845,36
CESAVE SUSP DRY 100MG 30ML,CEFIXIME,CESAVE,M1S,110.5,2012-08-01,2022-12-01,2025-11-01,44734,36
CEFIDON SUSP DRY 100MG 100ML,CEFIXIME,CEFIDON,DOV,775.96,2020-01-01,2022-12-01,2025-11-01,44467,36
CEFIMAX CAPS 400MG 5,CEFIXIME,CEFIMAX,PDH,297.5,2012-09-01,2022-12-01,2025-11-01,44370,36
VENCEF TABS 200MG 10,CEFIXIME,VENCEF,VUE,266.9,2015-09-01,2022-12-01,2025-11-01,44212,36
MIXO SUSP DRY D.S 200MG 30ML,CEFIXIME,MIXO,MXT,212.5,2018-12-01,2022-12-01,2025-11-01,43524,36
FREDIXIME SUSP DRY 100MG 30ML,CEFIXIME,FREDIXIME,CRH,230.35,2019-11-01,2022-12-01,2025-11-01,43450,36
CEFINE CAPS 400MG 5,CEFIXIME,CEFINE,N&L,317.05,2018-11-01,2022-12-01,2025-11-01,43303,36
SWICEF CAPS 400MG 5,CEFIXIME,SWICEF,SW-,463.25,2012-03-01,2022-12-01,2025-11-01,42556,36
FIXEF SUSP DRY D.S 200MG 30ML,CEFIXIME,FIXEF,RTX,175.0,2023-08-01,2022-12-01,2025-11-01,41400,36
SPRIL SUSP DRY 100MG 30ML,CEFIXIME,SPRIL,M4P,259.25,2003-07-01,2022-12-01,2025-11-01,41039,36
PROCEF CAPS 400MG 5,CEFIXIME,PROCEF,PHD,191.0,2004-03-01,2022-12-01,2025-11-01,40441,36
VIOXIME SUSP DRY 100MG 30ML,CEFIXIME,VIOXIME,F6P,148.75,2005-06-01,2022-12-01,2025-11-01,39712,36
CEFWIM CAPS 400MG 5,CEFIXIME,CEFWIM,WMT,492.64,2024-02-01,2022-12-01,2025-11-01,39709,36
ZYACEF SUSP DRY 100MG 30ML,CEFIXIME,ZYACEF,S5Z,60.0,2009-12-01,2022-12-01,2025-11-01,39370,36
Y-FIX SUSP DRY 100MG 30ML,CEFIXIME,Y-FIX,AJE,60.0,2010-01-01,2022-12-01,2025-11-01,39330,36
SERVE SUSP DRY 200MG 30ML,CEFIXIME,SERVE,N/P,296.65,2011-03-01,2022-12-01,2025-11-01,38941,36
M-SPAN CAPS 400MG 5,CEFIXIME,M-SPAN,A-V,340.0,2007-06-01,2022-12-01,2025-11-01,36781,36
CEFGEN SUSP DRY 100MG 30ML,CEFIXIME,CEFGEN,GNP,85.0,2014-02-01,2022-12-01,2025-11-01,36212,36
WELXIME CAPS 400MG 5,CEFIXIME,WELXIME,GLB,233.75,2013-04-01,2022-12-01,2025-11-01,36120,36
GENIXIME CAPS 400MG 5,CEFIXIME,GENIXIME,MA&,306.0,2004-01-01,2022-12-01,2025-11-01,35529,36
ZYLOFIXIME SUSP DRY D.S 200MG 30ML,CEFIXIME,ZYLOFIXIME,RGM,263.5,2010-01-01,2022-12-01,2025-11-01,35335,36
CEFICO CAPS 400MG 5,CEFIXIME,CEFICO,RPH,434.35,2023-07-01,2022-12-01,2025-11-01,35017,36
CILI-CEF CAPS 400MG 5,CEFIXIME,CILI-CEF,IPM,473.45,2015-01-01,2022-12-01,2025-11-01,34978,36
SPRIL SUSP DRY 100MG 60ML,CEFIXIME,SPRIL,M4P,275.4,2006-06-01,2022-12-01,2025-11-01,34934,36
ZIXPRO CAPS 400MG 5,CEFIXIME,ZIXPRO,S0A,416.5,2025-05-01,2022-12-01,2025-11-01,34476,36
ISOCEF SUSP DRY 100MG 30ML,CEFIXIME,ISOCEF,SQP,109.65,2006-05-01,2022-12-01,2025-11-01,34291,36
PLANAX CAPS 400MG 5,CEFIXIME,PLANAX,S+F,486.59,2018-10-01,2022-12-01,2025-11-01,33110,36
ZYLOFIXIME CAPS 400MG 5,CEFIXIME,ZYLOFIXIME,RGM,382.5,2011-09-01,2022-12-01,2025-11-01,32926,36
RAFIX CAPS 400MG 5,CEFIXIME,RAFIX,GD2,276.25,2013-06-01,2022-12-01,2025-11-01,32644,36
XIMEMOR SUSP DRY 100MG 30ML,CEFIXIME,XIMEMOR,MGA,153.0,2019-11-01,2022-12-01,2025-11-01,32544,36
ORPASE SUSP DRY 100MG 60ML,CEFIXIME,ORPASE,MD.,212.5,2007-05-01,2022-12-01,2025-11-01,32112,36
SUPRACEF SUSP DRY 200MG 30ML,CEFIXIME,SUPRACEF,PCW,246.5,2003-02-01,2022-12-01,2025-11-01,31004,36
SWICEF SUSP DRY D.S 200MG 30ML,CEFIXIME,SWICEF,SW-,351.9,2013-07-01,2022-12-01,2025-11-01,30799,36
GYALA SUSP DRY 100MG 30ML,CEFIXIME,GYALA,EHP,106.25,2007-10-01,2022-12-01,2025-11-01,30173,36
WELXIME SUSP DRY PLU 200MG 30ML,CEFIXIME,WELXIME,GLB,191.25,2013-05-01,2022-12-01,2025-11-01,29971,36
ROFIL SUSP DRY 100MG 30ML,CEFIXIME,ROFIL,AOS,60.0,2019-12-01,2022-12-01,2025-11-01,29874,36
BIOZIL CAPS 400MG 5,CEFIXIME,BIOZIL,BI-,464.1,2012-09-01,2022-12-01,2025-11-01,29366,36
CILI-CEF SUSP DRY 200MG/FORT 30ML,CEFIXIME,CILI-CEF,IPM,300.05,2015-01-01,2022-12-01,2025-11-01,28971,36
FIXIL SUSP DRY 100MG 30ML,CEFIXIME,FIXIL,AL8,113.0,2005-12-01,2022-12-01,2025-11-01,28773,36
PLANAX SUSP DS 200MG 30ML,CEFIXIME,PLANAX,S+F,437.93,2018-10-01,2022-12-01,2025-11-01,28617,36
AKSOXIME SUSP DRY D.S 200MG 30ML,CEFIXIME,AKSOXIME,AK/,144.5,2009-11-01,2022-12-01,2025-11-01,27753,36
BACTIRID SUSP DRY D.S 200MG 30ML,CEFIXIME,BACTIRID,MDC,238.0,2018-04-01,2022-12-01,2025-11-01,27727,36
REYAN SUSP DRY 100MG 30ML,CEFIXIME,REYAN,STA,112.2,2004-04-01,2022-12-01,2025-11-01,27544,36
ZIAC SUSP DRY D.S 200MG 30ML,CEFIXIME,ZIAC,M&I,169.5,2012-07-01,2022-12-01,2025-11-01,27273,36
VIMACEF CAPS 400MG 10,CEFIXIME,VIMACEF,TV+,276.25,2019-06-01,2022-12-01,2025-11-01,26930,36
IBOXIME SUSP DRY 100MG 60ML,CEFIXIME,IBOXIME,HHC,255.0,2019-09-01,2022-12-01,2025-11-01,26809,36
CEFINE SUSP DRY 100MG 30ML,CEFIXIME,CEFINE,N&L,175.95,2018-11-01,2022-12-01,2025-11-01,26223,36
VEFIXIM CAPS 400MG 5,CEFIXIME,VEFIXIM,VGP,276.25,2010-11-01,2022-12-01,2025-11-01,25548,36
SUPRACEF CAPS 400MG 5,CEFIXIME,SUPRACEF,PCW,343.03,1999-12-01,2022-12-01,2025-11-01,25080,36
CEFWIM SUSP DRY 100MG 30ML,CEFIXIME,CEFWIM,WMT,272.85,2024-02-01,2022-12-01,2025-11-01,24394,36
BIOZIL SUSP DRY 200MG 30ML,CEFIXIME,BIOZIL,BI-,317.05,2012-09-01,2022-12-01,2025-11-01,24240,36
FREDIXIME CAPS 400MG 5,CEFIXIME,FREDIXIME,CRH,413.1,2019-11-01,2022-12-01,2025-11-01,24092,36
ORTAZIM SUSP DRY 100MG 30ML,CEFIXIME,ORTAZIM,ORA,125.8,2010-04-01,2022-12-01,2025-11-01,24024,36
WIZY SUSP DRY 100MG 30ML,CEFIXIME,WIZY,SFZ,242.25,2010-01-01,2022-12-01,2025-11-01,23927,36
HISPAN SUSP DRY 100MG 30ML,CEFIXIME,HISPAN,MDP,110.5,2013-04-01,2022-12-01,2025-11-01,23859,36
AXORAL CAPS 400MG 5,CEFIXIME,AXORAL,PSL,313.4,2021-01-01,2022-12-01,2025-11-01,23739,36
BEXACIM CAPS 400MG 5,CEFIXIME,BEXACIM,PLI,276.25,2012-12-01,2022-12-01,2025-11-01,23575,36
KEFXIM SUSP DRY D.S 200MG/5ML 30ML,CEFIXIME,KEFXIM,G9P,213.35,2019-05-01,2022-12-01,2025-11-01,23515,36
INFICEF CAPS 400MG 5,CEFIXIME,INFICEF,DVI,315.0,2018-11-01,2022-12-01,2025-11-01,23456,36
AXORAL SUSP DRY D.S 200MG 30ML,CEFIXIME,AXORAL,PSL,214.02,2021-01-01,2022-12-01,2025-11-01,23405,36
MEGAXIM SUSP DRY 100MG 30ML,CEFIXIME,MEGAXIM,PKH,97.0,2008-04-01,2022-12-01,2025-11-01,23186,36
GODICEF CAPS 200MG 5,CEFIXIME,GODICEF,SAF,229.81,2024-01-01,2022-12-01,2025-11-01,23091,36
FREDIXIME SUSP DRY D.S 200MG 30ML,CEFIXIME,FREDIXIME,CRH,313.65,2019-11-01,2022-12-01,2025-11-01,22796,36
CEFINE SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFINE,N&L,293.25,2018-11-01,2022-12-01,2025-11-01,22670,36
AEROCEF SUSP DRY 100MG 30ML,CEFIXIME,AEROCEF,RZT,126.65,2009-01-01,2022-12-01,2025-11-01,22668,36
CESAVE CAPS 400MG 5,CEFIXIME,CESAVE,M1S,233.75,2012-08-01,2022-12-01,2025-11-01,22097,36
CEFTAS CAPS 200MG 5,CEFIXIME,CEFTAS,P/P,276.25,2007-07-01,2022-12-01,2025-11-01,21532,36
TRIBAN CAPS 400MG 5,CEFIXIME,TRIBAN,CS-,276.25,2008-11-01,2022-12-01,2025-11-01,21218,36
CEFASK SUSP DRY 100MG 30ML,CEFIXIME,CEFASK,CIT,175.95,2020-05-01,2022-12-01,2025-11-01,20307,36
CEFSEL SUSP DRY 100MG 30ML,CEFIXIME,CEFSEL,H6P,119.0,2006-04-01,2022-12-01,2025-11-01,20038,36
ZYNOXIM CAPS 400MG 5,CEFIXIME,ZYNOXIM,AR&,276.25,2016-09-01,2022-12-01,2025-11-01,19338,36
HISPAN CAPS 400MG 5,CEFIXIME,HISPAN,MDP,297.5,2020-06-01,2022-12-01,2025-11-01,19226,36
NIFIM CAPS 400MG 5,CEFIXIME,NIFIM,CJY,484.5,2025-02-01,2022-12-01,2025-11-01,18209,36
CARAZIME SUSP DRY 100MG 30ML,CEFIXIME,CARAZIME,CWH,199.75,2016-06-01,2022-12-01,2025-11-01,17880,36
FIX SUSP DRY 100MG 30ML,CEFIXIME,FIX,KUT,153.0,2018-01-01,2022-12-01,2025-11-01,17793,36
COOVER SUSP DRY 100MG 30ML,CEFIXIME,COOVER,.AC,263.5,2016-08-01,2022-12-01,2025-11-01,16932,36
BENIFIX CAPS 400MG 5,CEFIXIME,BENIFIX,BNS,161.5,2007-08-01,2022-12-01,2025-11-01,16763,36
CEFITOL CAPS 400MG 5,CEFIXIME,CEFITOL,MNW,170.0,2002-06-01,2022-12-01,2025-11-01,16687,36
GYALA CAPS 400MG 5,CEFIXIME,GYALA,EHP,212.5,2007-10-01,2022-12-01,2025-11-01,16461,36
CEFITOL SUSP DRY 100MG 30ML,CEFIXIME,CEFITOL,MNW,102.0,2003-04-01,2022-12-01,2025-11-01,16034,36
MIXO CAPS 200MG 5,CEFIXIME,MIXO,MXT,170.0,2018-12-01,2022-12-01,2025-11-01,15852,36
XINEEN SUSP DRY 100MG 30ML,CEFIXIME,XINEEN,DNN,230.61,2021-11-01,2022-12-01,2025-11-01,15805,36
TYSEN SUSP DRY 200MG 30ML,CEFIXIME,TYSEN,HTP,296.74,2014-03-01,2022-12-01,2025-11-01,15557,36
VG-SPAN CAPS 400MG 5,CEFIXIME,VG-SPAN,FZP,254.15,2007-09-01,2022-12-01,2025-11-01,15528,36
SECURE SUSP DRY 100MG 30ML,CEFIXIME,SECURE,WSH,165.75,2004-01-01,2022-12-01,2025-11-01,15517,36
TINOCEF GRAN 100MG 30ML,CEFIXIME,TINOCEF,PP+,125.8,2001-11-01,2022-12-01,2025-11-01,15180,36
EPAN SUSP DRY 200MG 30ML,CEFIXIME,EPAN,EP5,168.3,2019-12-01,2022-12-01,2025-11-01,15092,36
ISOCEF SUSP DRY D.S 200MG 30ML,CEFIXIME,ISOCEF,SQP,180.2,2008-06-01,2022-12-01,2025-11-01,14550,36
CILI-CEF SUSP DRY 100MG 60ML,CEFIXIME,CILI-CEF,IPM,378.25,2015-01-01,2022-12-01,2025-11-01,14469,36
CEFISCOT SUSP DRY 100MG 60ML,CEFIXIME,CEFISCOT,SC2,255.0,2005-05-01,2022-12-01,2025-11-01,14434,36
INFICEF SUSP DRY 200MG 60ML,CEFIXIME,INFICEF,DVI,355.0,2018-11-01,2022-12-01,2025-11-01,14356,36
ISOCEF CAPS 400MG 5,CEFIXIME,ISOCEF,SQP,212.5,2006-05-01,2022-12-01,2025-11-01,14184,36
TRIBAN SUSP DRY 100MG 30ML,CEFIXIME,TRIBAN,CS-,153.0,2008-11-01,2022-12-01,2025-11-01,13858,36
CEFGEN SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFGEN,GNP,153.0,2014-02-01,2022-12-01,2025-11-01,13844,36
CMILE SUSP DRY D.S 200MG 60ML,CEFIXIME,CMILE,M-R,569.5,2020-03-01,2022-12-01,2025-11-01,13822,36
WIZY CAPS 400MG 5,CEFIXIME,WIZY,SFZ,380.8,2010-01-01,2022-12-01,2025-11-01,13626,36
XIMBACT CAPS 400MG 5,CEFIXIME,XIMBACT,BAX,250.75,2013-10-01,2022-12-01,2025-11-01,13468,36
SUREXIME CAPS 200MG 5,CEFIXIME,SUREXIME,MDS,221.0,2020-10-01,2022-12-01,2025-11-01,13391,36
AKSOXIME CAPS 400MG 5,CEFIXIME,AKSOXIME,AK/,221.0,2009-11-01,2022-12-01,2025-11-01,13330,36
CESAVE SUSP DRY D.S 200MG 30ML,CEFIXIME,CESAVE,M1S,161.5,2012-08-01,2022-12-01,2025-11-01,13190,36
SECURE CAPS 400MG 7,CEFIXIME,SECURE,WSH,416.5,2015-02-01,2022-12-01,2025-11-01,13007,36
VIOSPAN SUSP DRY 100MG 30ML,CEFIXIME,VIOSPAN,MB/,157.25,2003-03-01,2022-12-01,2025-11-01,12936,36
AGLOP SUSP DRY 100MG 30ML,CEFIXIME,AGLOP,ACP,259.25,2025-06-01,2022-12-01,2025-11-01,12802,36
CEFICURE CAPS 400MG 5,CEFIXIME,CEFICURE,MXR,312.8,2023-09-01,2022-12-01,2025-11-01,12681,36
CEFIBACT SUSP DRY 100MG 30ML,CEFIXIME,CEFIBACT,BI-,253.3,2024-06-01,2022-12-01,2025-11-01,12506,36
AEROCEF CAPS 400MG 5,CEFIXIME,AEROCEF,RZT,276.25,2009-01-01,2022-12-01,2025-11-01,12381,36
FINEX CAPS 400MG 5,CEFIXIME,FINEX,POC,212.5,2006-05-01,2022-12-01,2025-11-01,12379,36
ZYNOXIM SUSP DRY 100MG 30ML,CEFIXIME,ZYNOXIM,AR&,119.0,2016-09-01,2022-12-01,2025-11-01,11898,36
CONSPAN SUSP DRY 100MG 30ML,CEFIXIME,CONSPAN,CLL,108.46,2009-01-01,2022-12-01,2025-11-01,11872,36
REYAN CAPS 400MG 5,CEFIXIME,REYAN,STA,233.75,2004-04-01,2022-12-01,2025-11-01,11800,36
CEFIRANT SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFIRANT,AM8,178.5,2013-06-01,2022-12-01,2025-11-01,11685,36
ZIXIME CAPS 400MG 5,CEFIXIME,ZIXIME,JWP,426.28,2023-03-01,2022-12-01,2025-11-01,11634,36
XIM SUSP DRY 100MG 30ML,CEFIXIME,XIM,EGP,127.5,2007-11-01,2022-12-01,2025-11-01,11273,36
COOVER SUSP DRY D.S 200MG 30ML,CEFIXIME,COOVER,.AC,204.0,2016-08-01,2022-12-01,2025-11-01,11144,36
SUPERIXIME CAPS 400MG 5,CEFIXIME,SUPERIXIME,B6X,255.0,2005-05-01,2022-12-01,2025-11-01,11054,36
CEFWIM SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFWIM,WMT,454.75,2024-02-01,2022-12-01,2025-11-01,11040,36
XIMEMOR CAPS 400MG 5,CEFIXIME,XIMEMOR,MGA,276.25,2019-11-01,2022-12-01,2025-11-01,10928,36
Y-FIX CAPS 400MG 5,CEFIXIME,Y-FIX,AJE,120.0,2010-01-01,2022-12-01,2025-11-01,10673,36
CEFASK CAPS 400MG 5,CEFIXIME,CEFASK,CIT,317.69,2017-02-01,2022-12-01,2025-11-01,10245,36
Y-FIX SUSP DRY D.S 200MG 30ML,CEFIXIME,Y-FIX,AJE,95.0,2010-01-01,2022-12-01,2025-11-01,10245,36
HEFIXIM SUSP DRY 100MG 30ML,CEFIXIME,HEFIXIM,H1L,127.5,2009-11-01,2022-12-01,2025-11-01,10087,36
ASTEXIM SUSP DRY 200MG 30ML,CEFIXIME,ASTEXIM,ATL,204.0,2019-09-01,2022-12-01,2025-11-01,9680,36
GYALA SUSP DRY D.S 200MG 30ML,CEFIXIME,GYALA,EHP,140.25,2012-01-01,2022-12-01,2025-11-01,9546,36
AGLOP SUSP DRY D.S 200MG 30ML,CEFIXIME,AGLOP,ACP,213.35,2025-06-01,2022-12-01,2025-11-01,9438,36
SUNCEF CAPS 400MG 5,CEFIXIME,SUNCEF,HZP,165.75,2012-02-01,2022-12-01,2025-11-01,9372,36
CEFIVANT CAPS 400MG 5,CEFIXIME,CEFIVANT,AVT,276.25,2019-08-01,2022-12-01,2025-11-01,9325,36
CB-GET SUSP DRY 100MG 30ML,CEFIXIME,CB-GET,JSK,230.64,2022-05-01,2022-12-01,2025-11-01,9282,36
ONFIXIME SUSP DRY 100MG 30ML,CEFIXIME,ONFIXIME,ONX,216.75,2023-09-01,2022-12-01,2025-11-01,9183,36
ASTEXIM SUSP DRY 100MG 30ML,CEFIXIME,ASTEXIM,ATL,136.0,2019-09-01,2022-12-01,2025-11-01,9131,36
FINEX SUSP DRY 100MG 30ML,CEFIXIME,FINEX,POC,114.75,2006-05-01,2022-12-01,2025-11-01,9076,36
DUET SUSP DRY 100MG 30ML,CEFIXIME,DUET,WLX,136.0,2020-12-01,2022-12-01,2025-11-01,8934,36
VIMACEF SUSP DRY 100MG 60ML,CEFIXIME,VIMACEF,TV+,212.5,2005-05-01,2022-12-01,2025-11-01,8798,36
WAYBAC CAPS 200MG 10,CEFIXIME,WAYBAC,WOO,233.7,2009-10-01,2022-12-01,2025-11-01,8792,36
DUET SUSP DRY 200MG 30ML,CEFIXIME,DUET,WLX,204.0,2020-12-01,2022-12-01,2025-11-01,8640,36
CEFAMAX SUSP DRY 100MG 60ML,CEFIXIME,CEFAMAX,PUP,255.0,2003-05-01,2022-12-01,2025-11-01,8537,36
FIX SUSP DRY D.S 200MG 30ML,CEFIXIME,FIX,KUT,255.0,2018-01-01,2022-12-01,2025-11-01,8416,36
CEFKAR CAPS 400MG 5,CEFIXIME,CEFKAR,MDP,276.25,2019-06-01,2022-12-01,2025-11-01,8412,36
XINEEN SUSP DRY 200MG 30ML,CEFIXIME,XINEEN,DNN,282.2,2021-11-01,2022-12-01,2025-11-01,8406,36
COOVER CAPS 400MG 5,CEFIXIME,COOVER,.AC,493.0,2016-08-01,2022-12-01,2025-11-01,8337,36
CEFISTAR SUSP DRY 100MG 30ML,CEFIXIME,CEFISTAR,ISS,229.5,2023-08-01,2022-12-01,2025-11-01,8269,36
CEFITOL SUSP DRY D.S 200MG 30ML,CEFIXIME,CEFITOL,MNW,187.0,2006-06-01,2022-12-01,2025-11-01,8164,36
CEXIME SUSP DRY 100MG 30ML,CEFIXIME,CEXIME,SN1,127.5,2003-07-01,2022-12-01,2025-11-01,8163,36
ROFIL SUSP DS 200MG 30ML,CEFIXIME,ROFIL,AOS,90.0,2019-12-01,2022-12-01,2025-11-01,8007,36
VENCEF SUSP DRY 200MG 30ML,CEFIXIME,VENCEF,VUE,170.0,2005-03-01,2022-12-01,2025-11-01,7936,36
